,Start Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
0,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,181.0,187.0,some
1,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,903.0,920.0,some
2,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,2316.0,2360.0,some
3,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,6598.0,6765.0,some
4,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,16398.0,16779.0,some
5,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,28310.0,28897.0,some
6,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,33867.0,34385.0,some
7,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,33721.0,34014.0,some
8,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,3.0,3.0,some
9,2/1/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,122297.0,124310.0,some
10,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,34.0,36.0,some
11,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,94.0,94.0,some
12,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,216.0,221.0,some
13,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,640.0,656.0,some
14,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,2457.0,2564.0,some
15,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,6039.0,6273.0,some
16,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,8263.0,8564.0,some
17,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,7443.0,7636.0,some
18,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1.0,1.0,some
19,2/1/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,25187.0,26045.0,some
20,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,90.0,90.0,some
21,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,349.0,349.0,some
22,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,950.0,950.0,some
